grund,tvätt
orust,orust
hultsfred,hultsfred
socialarbetare,socialarbetare
liljeholmen,liljeholmen
lysekil,lysekil
skärholmen,skärholmen
universitetslektor,universitetslektor
luleå,luleå
ulricehamn,ulricehamn
virserum,virserum
mellerud,mellerud
ånge,ånge
stenungsund,stenungsund
socialsekreterare,socialsekreterare
åtvidaberg,åtvidaberg
härryda,härryda
redovisningsekonom,ekonom
vara,vara
torsås,torsås
gällivare,gällivare
bollnäs,bollnäs
åmål,åmål
hamnarbetare,arbetare
tekniker,tekniker
ale,ale
tolk,tolk
vårdbiträde,vårdare
säffle,säffle
officer,militär
generalsekreterare,generalsekreterare
tensta,tensta
politisk rådgivare,politisk tjänsteman
osby,osby
höganäs,höganäs
utbildningsansvarig,utbildningsansvarig
samordnare,samordnare
herrljunga,herrljunga
maskinförare,maskinist
läkarstudent,studerande
politisk tjänsteman,politisk tjänsteman
berg,berg
hörby,hörby
vårgårda,vårgårda
driftingenjör,driftstekniker
språklärare,lärare
kurator,kurator
kommunikationschef,kommunikationschef
tjörn,tjörn
askersund,askersund
leg. psykolog,psykolog
nykvarn,nykvarn
nässjö,nässjö
svalöv,svalöv
yrkesförare,yrkesförare
leg sjuksköterska,sjuksköterska
högskoleingenjör,högskoleingenjör
vetlanda,vetlanda
uppvidinge,uppvidinge
lantmästare,lantmästare
tandläkare,tandläkare
företagsekonom,företagsekonom
arvika,arvika
redovisningskonsult,redovisningskonsult
florist,florist
tierp,tierp
kristinehamn,kristinehamn
karlshamn,karlshamn
riksombudsman,riksombudsman
konstnär,konstnär
ungdomspedagog,ungdomspedagog
lilla edet,lilla edet
mora,mora
partitjänsteman,partitjänsteman
informationsassistent,informationsassistent
dansare,dansare
lagerarbetare,arbetare
präst,präst
sakkunnig yrkestrafik,sakkunnig yrkestrafik
familjeföretagare,familjeföretagare
cnc-operatör,cnc-operatör
visby,visby
so-lärare,so-lärare
resurspersonal,resurspersonal
fil. kand. kulturarvsstudier,fil. kand. kulturarvsstudier
skogsrådgivare,skogsrådgivare
fil. dr cell- och molekylärbiologi,fil. dr cell- och molekylärbiologi
tanum,tanum
nämndeman,nämndeman
säljadministratör,säljadministratör
marknadschef,marknadsansvarig
överläkare,läkare
marknadsekonom,ekonom
pressekreterare,kommunikatör
pastor,pastor
götene,götene
hudiksvall,hudiksvall
tranås,tranås
lilla essingen,lilla essingen
tomelilla,tomelilla
systemutvecklare,systemutvecklare
säter,säter
leksand,leksand
omsorgsassistent,omvårdnadspersonal
arkitekt,arkitekt
stödassistent,stödassistent
affärsutvecklare,affärsrådgivare
revisor,revisor
höllviken,höllviken
biolog,biolog
vårdadministratör,vårdadministratör
olofström,olofström
smedjebacken,smedjebacken
hjo,hjo
poliskommissarie,polis
biomedicinsk analytiker,biomedicinare
skötare,skötare
kil,kil
beteendevetare,beteendevetare
snickare,snickare
hylte,hylte
skadereglerare,skadereglerare
kriminalvårdare,kriminalvårdare
sandviken,sandviken
storuman,storuman
hällefors,hällefors
borgarrådssekreterare,borgarrådssekreterare
bjärred,bjärred
f.d. ombudsman,fackombudsman
ämneslärare,lärare
teknologie doktor,tekn. dr.
speciallärare,speciallärare
laxå,laxå
lomma,lomma
produktionschef,chef
dalby,dalby
skogås,skogås
montör,montör
enebyberg,enebyberg
servicebyråchef,servicebyråchef
bitr. kanslichef,bitr. kanslichef
hässelby villastad,hässelby villastad
kista,kista
miljö- och skärgårdslandstingsråd,miljö- och skärgårdslandstingsråd
vindkraftingenjör,ingenjör
innovationslandstingsråd,innovationslandstingsråd
hälso-och sjukvårdslandstingsråd,hälso-och sjukvårdslandstingsråd
doktorand civilrätt,doktorand civilrätt
riskforskare,riskforskare
stadsmiljökommunalråd,stadsmiljökommunalråd
muskö,muskö
verksamhetsstrateg,verksamhetsstrateg
elektriker,elektriker
leg. ssw,leg. ssw
förvaltningsadministratör,förvaltningsadministratör
senior analytiker,analytiker
boendestödjare,boendeassistent
landskapsarkitekt,landskapsarkitekt
personalvetare,personalvetare
bålsta,bålsta
busschaufför,bussförare
malung-sälen,malung-sälen
katrineholm,katrineholm
arbetsledare,chef
vårdlärare,vårdlärare
bjuv,bjuv
bussförare,bussförare
onsala,onsala
älvkarleby,älvkarleby
skattehandläggare,skattehandläggare
lövestad,lövestad
oppositionslandstingsråd,oppositionslandstingsråd
skurup,skurup
regionpolitiker,regionpolitiker
mark,mark
fotograf,fotograf
f d riksdagsledamot,riksdagsledamot
vellinge,vellinge
töreboda,töreboda
docent,docent
köping,köping
civ.ing.,civ.ing.
habo,habo
östhammar,östhammar
robertsfors,robertsfors
leg. fysioterapeut,fysioterapeut
fd riksdagsledamot,riksdagsledamot
partiordförande,partiordförande
älmhult,älmhult
småföretagare,egenföretagare
studie- och yrkesvägledare,studie- och yrkesvägledare
västra frölunda,västra frölunda
huskvarna,huskvarna
upplands bro,upplands bro
burlöv,burlöv
bengtsfors,bengtsfors
butiksbiträde,butiksbiträde
sorunda,sorunda
kulturarbetare,kulturarbetare
nyköping,nyköping
aneby,aneby
fritidsledare,fritidsledare
mantorp,mantorp
vännäs,vännäs
brokind,brokind
skogsbrukare,skogsbrukare
båstad,båstad
språkrör grön ungdom,språkrör grön ungdom
inköpare,inköpare
åstorp,åstorp
medicinsk sekreterare,sekreterare
målare,målare
gislaved,gislaved
språkrör,språkrör
vice partiordförande,vice partiordförande
vilhelmina,vilhelmina
arboga,arboga
kommunstyrelsens ordförande,kommunstyrelsens ordförande
jur kand,jurist
fastighetsförvaltare,fastighetsförvaltare
lastbilschaufför,lastbilsförare
grästorp,grästorp
gotland,gotland
assistent,assistent
brevbärare,brevbärare
