grund,tvätt
riksdagsledamot,riksdagsledamot
pensionär,pensionär
stockholm,stockholm
egenföretagare,egenföretagare
undersköterska,undersköterska
lärare,lärare
kommunalråd,kommunalråd
företagare,egenföretagare
studerande,studerande
örebro,örebro
civilingenjör,civilingenjör
politisk sekreterare,politisk tjänsteman
kalmar,kalmar
sjuksköterska,sjuksköterska
uppsala,uppsala
civilekonom,civilekonom
projektledare,projektledare
jurist,jurist
student,studerande
linköping,linköping
södermalm,södermalm
malmö,malmö
socionom,socionom
göteborg,göteborg
norrköping,norrköping
botkyrka,botkyrka
ekonom,ekonom
helsingborg,helsingborg
solna,solna
sundbyberg,sundbyberg
kungsholmen,kungsholmen
lund,lund
södertälje,södertälje
västerås,västerås
nacka,nacka
täby,täby
bromma,bromma
gymnasielärare,lärare
läkare,läkare
huddinge,huddinge
ingenjör,ingenjör
oppositionsråd,oppositionsråd
egen företagare,egenföretagare
halmstad,halmstad
oskarshamn,oskarshamn
konsult,konsult
umeå,umeå
ombudsman,fackombudsman
västervik,västervik
lidingö,lidingö
upplands väsby,upplands väsby
gruppledare,chef
skövde,skövde
norrmalm,norrmalm
järfälla,järfälla
sollentuna,sollentuna
kristianstad,kristianstad
administratör,administratör
leg. sjuksköterska,sjuksköterska
jönköping,jönköping
mölndal,mölndal
norrtälje,norrtälje
motala,motala
kommunikatör,kommunikationsrådgivare
varberg,varberg
falkenberg,falkenberg
danderyd,danderyd
kungsbacka,kungsbacka
entreprenör,entreprenör
hässelby,hässelby
hägersten,hägersten
lantbrukare,bonde
haninge,haninge
östermalm,östermalm
säljare,säljare
journalist,journalist
landstingsråd,landstingsråd
hässleholm,hässleholm
falun,falun
borås,borås
regionråd,regionråd
ekerö,ekerö
skellefteå,skellefteå
lerum,lerum
trollhättan,trollhättan
tyresö,tyresö
nynäshamn,nynäshamn
statsvetare,statsvetare
värmdö,värmdö
gävle,gävle
tjänsteman,tjänsteman
vimmerby,vimmerby
växjö,växjö
kumla,kumla
farsta,farsta
alingsås,alingsås
sundsvall,sundsvall
förskollärare,förskolelärare
trelleborg,trelleborg
österåker,österåker
nybro,nybro
bromölla,bromölla
enhetschef,chef
vallentuna,vallentuna
landskrona,landskrona
polis,polis
uddevalla,uddevalla
borlänge,borlänge
ystad,ystad
älvsjö,älvsjö
falköping,falköping
handläggare,handläggare
karlskrona,karlskrona
mörbylånga,mörbylånga
vd,vd
bagarmossen,bagarmossen
vällingby,vällingby
hammarbyhöjden,hammarbyhöjden
karlskoga,karlskoga
årsta,årsta
juriststudent,studerande
förbundssekreterare,förbundssekreterare
kävlinge,kävlinge
eskilstuna,eskilstuna
skarpnäck,skarpnäck
mönsterås,mönsterås
enköping,enköping
vänersborg,vänersborg
finspång,finspång
senior,senior
rektor,rektor
vaxholm,vaxholm
lidköping,lidköping
bandhagen,bandhagen
munkedal,munkedal
östersund,östersund
laholm,laholm
karlstad,karlstad
höör,höör
kanslichef,kansliansvarig
personlig assistent,personlig assistent
söderköping,söderköping
ödeshög,ödeshög
byggnadsarbetare,byggarbetare
verksamhetschef,chef
lindesberg,lindesberg
tibro,tibro
borgholm,borgholm
barnskötare,barnskötare
mjölby,mjölby
industriarbetare,arbetare
knivsta,knivsta
doktorand,doktorand
statstjänsteman,statstjänsteman
spånga,spånga
upplands-bro,upplands-bro
eslöv,eslöv
ängelholm,ängelholm
hallsberg,hallsberg
verksamhetsutvecklare,verksamhetsutvecklare
chaufför,chaufför
it-konsult,it-konsult
distriktssköterska,sjuksköterska
politiskt sakkunnig,politisk tjänsteman
fritidspedagog,fritidsledare
simrishamn,simrishamn
sölvesborg,sölvesborg
örkelljunga,örkelljunga
arbetsförmedlare,arbetsförmedlare
valdemarsvik,valdemarsvik
salem,salem
värnamo,värnamo
nora,nora
enskede,enskede
bollebygd,bollebygd
norsborg,norsborg
kungälv,kungälv
nationalekonom,ekonom
staffanstorp,staffanstorp
vadstena,vadstena
politiker,politiker
söderhamn,söderhamn
partiledare,partiledare
sigtuna,sigtuna
banktjänsteman,bankir
mullsjö,mullsjö
ekonomichef,chef
specialistsjuksköterska,sjuksköterska
skara,skara
avdelningschef,chef
gruppchef,chef
emmaboda,emmaboda
psykolog,psykolog
gnosjö,gnosjö
metallarbetare,arbetare
författare,författare
utredare,utredare
advokat,advokat
eksjö,eksjö
kock,kock
sunne,sunne
barnmorska,barnmorska
skinnskatteberg,skinnskatteberg
lycksele,lycksele
öckerö,öckerö
kinda,kinda
ronneby,ronneby
ludvika,ludvika
grundskollärare,lärare
partille,partille
samhällsvetare,samhällsvetare
barnläkare,läkare
regionchef apotek,regionchef apotek
kost och näringsekonom,kost och näringsekonom
håbo,håbo
strömstad,strömstad
perstorp,perstorp
sala,sala
agronom,agronom
byggnadsingenjör,ingenjör
folkhälsovetare,folkhälsovetare
sjöbo,sjöbo
örnsköldsvik,örnsköldsvik
miljökonsult,miljökonsult
it-tekniker,it-tekniker
mariestad,mariestad
kramfors,kramfors
tidaholm,tidaholm
härnösand,härnösand
degerfors,degerfors
kommunpolitiker,kommunpolitiker
högsby,högsby
ambulanssjuksköterska,ambulanssjukvårdare
sköndal,sköndal
märsta,märsta
pedagog,pedagog
behandlingsassistent,behandlare
strängnäs,strängnäs
organisationsutvecklare,organisationsutvecklare
färjestaden,färjestaden
specialpedagog,specialpedagog
